Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4u7,
"C10, C7",0402,2,10n,
"C11, C12, C13",0805,3,10u,C440198
C14,CP_Elec_6.3x4.5,1,220u,C5379968
"C15, C16",0805,2,22u,C45783
C17,0805,1,10u,C15850 
"C18, C20, C30",0402,3,100n,C1525
C19,0603,1,470n,C1623
"C2, C29, C3, C31, C32, C33, C34, C35, C38, C4, C41, C5, C6",0402,13,100n,
"C21, C22, C23, C24, C36, C37, C39, C40, C42, C43",0402,10,10n,C15195
"C25, C26",0402,2,10p,
C27,0402,1,10u,C15525
C28,0603,1,22u,C59461
"C8, C9",0402,2,1u,
"D1, D7",D_SMA,2,700mV@5A,C5140024
"D10, D13, D14, D9",D_SOD-123FL,4,D, C64898
"D11, D12, D15, D16, D2, D3, D4, D5, D6",0603,9,red,C2286
D8,D_SOD-123,1,~,C8598
F1,1206,1,3A,C14165
"F2, F3",1206,2,5A,C57525
FB1,0603,1,120R,
J15,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"Q1, Q2, Q5, Q6",SOIC-8_3.9x4.9mm_P1.27mm,4,AOSP21321,C560863
"Q10, Q11, Q12, Q9",SOT-23,4,AO3400A,C20917
R1,0402,1,17k4,C2933077
"R10, R18, R19, R9",0603,4,4k7,C23162
"R11, R38, R39, R7, R8",0402,5,22R,C25092
"R12, R13, R15, R16, R20, R21, R23, R24",0402,8,100,
"R14, R17, R22, R25, R26, R27, R28, R29, R3, R30, R5, R69, R70, R71, R72, R73, R74",0402,17,1k,C11702
"R2, R32, R33",1206,3,15m,C601098
"R31, R6",0402,2,100k,C25741
"R34, R35, R36, R37, R44",0402,5,5k1,C25905
R4,0402,1,3k3,C25890
"R41, R42, R43",0402,3,15k,C25756
"R45, R46, R47",0402,3,2k2,C25879
"R49, R50, R51, R52, R53, R54, R57, R58, R59, R60, R61, R62, R63, R64, R67, R68",0402,16,12k,C25752
"R55, R56, R65, R66",0402,4,330,C25104
"SW1, SW2, SW3",SW_SPST_TS-1088-xR020,3,KMR721NGLFS,C720477
TH1,0603,1,10k,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.0mm,5,TestPoint,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F105RCTx,
U3,SOT-223-3_TabPin2,1,AZ1117-3.3,C92102
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVP,
"U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2562-E-SN,
"U7, U8, U9",SOT-23-6,3,INA181A1,C45351496
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,8MHz 12pF,C2149245
