Designator,Mid X,Mid Y,Rotation,Layer
C1,134.45,-138.25,180.0,bottom
C10,123.25,-135.5,0.0,bottom
C11,118.75,-105.5,270.0,top
C12,108.0,-109.4,270.0,top
C13,110.05,-109.4,270.0,top
C14,119.75,-126.0,180.0,top
C15,107.25,-124.5,90.0,top
C16,109.25,-124.5,90.0,top
C17,105.75,-121.75,0.0,top
C18,106.25,-120.25,0.0,top
C19,114.75,-117.25,270.0,bottom
C2,134.43,-137.25,180.0,bottom
C20,120.0,-102.75,180.0,top
C21,117.5,-134.02,90.0,bottom
C22,117.5,-136.02,270.0,bottom
C23,117.6,-124.02,90.0,bottom
C24,117.6,-125.98,270.0,bottom
C25,129.05,-140.45,270.0,bottom
C26,135.7,-141.08,90.0,bottom
C27,130.05,-128.05,90.0,top
C28,130.1,-124.25,270.0,top
C29,140.5,-134.4,0.0,bottom
C3,122.7,-126.3,270.0,bottom
C30,127.1,-109.75,180.0,bottom
C31,142.95,-108.440296,270.0,bottom
C32,139.728979,-101.75,180.0,bottom
C33,149.4,-108.5,270.0,bottom
C34,146.085,-101.75,180.0,bottom
C35,105.6,-139.7,0.0,top
C36,107.9,-134.65,90.0,top
C37,104.65,-134.63,90.0,top
C38,107.7375,-141.9375,270.0,top
C39,103.4875,-145.1375,270.0,top
C4,122.8,-133.0,270.0,bottom
C40,106.7375,-145.1175,270.0,top
C41,141.3625,-102.82,270.0,top
C42,137.1,-106.0,270.0,top
C43,140.4,-106.0,270.0,top
C5,133.5,-122.7,0.0,bottom
C6,137.2,-133.9,90.0,bottom
C7,127.9,-137.2,180.0,bottom
C8,127.9,-138.2,180.0,bottom
C9,123.25,-136.5,0.0,bottom
D1,143.0,-114.25,270.0,top
D10,131.2,-148.95,270.0,top
D11,125.0,-145.25,180.0,bottom
D12,128.0,-145.25,180.0,bottom
D13,133.793236,-148.945195,270.0,top
D14,143.2,-148.9,270.0,top
D15,137.0,-145.25,180.0,bottom
D16,140.0,-145.25,180.0,bottom
D2,120.75,-109.4625,90.0,bottom
D3,112.0,-109.75,90.0,bottom
D4,113.5,-109.75,90.0,bottom
D5,119.0,-109.4625,90.0,bottom
D6,115.0,-109.75,90.0,bottom
D7,110.5,-143.4,270.0,top
D8,127.75,-114.5,90.0,bottom
D9,122.0,-148.75,270.0,top
F1,143.0,-120.5,90.0,top
F2,113.5,-143.25,270.0,top
F3,115.75,-143.25,270.0,top
FB1,125.4,-138.4616,180.0,bottom
H1,104.0,-104.0,0.0,top
H2,104.0,-156.0,0.0,top
H3,156.0,-156.0,0.0,top
H4,156.0,-104.0,0.0,top
J15,130.0,-105.375,180.0,bottom
JP1,113.75,-126.6,90.0,top
JP2,111.5,-126.6,90.0,top
Q1,123.75,-141.5,180.0,top
Q10,132.8,-135.7,180.0,top
Q11,126.6,-135.6625,90.0,top
Q12,138.8,-134.8,90.0,top
Q2,129.25,-141.5,180.0,top
Q5,135.75,-141.5,180.0,top
Q6,141.25,-141.5,180.0,top
Q9,121.0,-136.1,180.0,top
R1,107.75,-119.5,90.0,top
R10,108.7,-143.3375,270.0,bottom
R11,137.2,-123.6,90.0,bottom
R12,143.25,-138.5,270.0,bottom
R13,108.9,-126.0,90.0,bottom
R14,119.0,-134.5,0.0,bottom
R15,142.2,-138.5,270.0,bottom
R16,108.9,-124.0,270.0,bottom
R17,119.0,-135.5,0.0,bottom
R18,108.7,-136.7,90.0,bottom
R19,108.7,-133.3,270.0,bottom
R2,138.0,-109.75,180.0,top
R20,117.75,-128.5,0.0,bottom
R21,108.3,-116.1,90.0,bottom
R22,118.6,-124.0,270.0,bottom
R23,117.75,-127.5,0.0,bottom
R24,109.4,-115.0,90.0,bottom
R25,118.6,-126.01,90.0,bottom
R26,130.8,-137.85,270.0,bottom
R27,110.75,-109.5375,90.0,bottom
R28,116.675,-108.325,0.0,bottom
R29,117.725,-109.75,90.0,bottom
R3,122.0,-109.5,90.0,bottom
R30,116.25,-109.75,90.0,bottom
R31,112.0,-101.9,0.0,top
R32,117.5,-130.75,0.0,top
R33,117.5,-133.2,0.0,top
R34,126.0,-113.5,90.0,bottom
R35,128.75,-110.75,270.0,bottom
R36,131.75,-110.75,270.0,bottom
R37,125.975,-115.62,90.0,bottom
R38,129.0,-118.0,270.0,bottom
R39,130.0,-118.0,90.0,bottom
R4,107.75,-117.5,90.0,top
R40,142.4,-111.8,180.0,bottom
R41,111.9,-135.3,270.0,top
R42,114.49,-141.4,180.0,bottom
R43,115.2,-143.2,180.0,bottom
R44,138.6725,-136.0,180.0,bottom
R45,111.9,-137.3,270.0,top
R46,116.56,-141.4,180.0,bottom
R47,117.2,-143.2,180.0,bottom
R48,146.1,-111.75,180.0,bottom
R49,122.75,-137.3,180.0,top
R5,114.1,-102.3,0.0,top
R50,128.1,-137.2,180.0,top
R51,125.5,-144.0,180.0,bottom
R52,128.5,-144.0,180.0,bottom
R53,121.9,-146.0,180.0,top
R54,131.3,-146.0,0.0,top
R55,118.5,-135.24,90.0,top
R56,127.75,-133.3625,0.0,top
R57,118.5,-137.19,270.0,top
R58,125.8825,-133.3625,180.0,top
R59,134.41,-137.3,180.0,top
R6,116.01,-101.5,0.0,top
R60,140.1,-137.2,180.0,top
R61,137.5,-144.0,180.0,bottom
R62,140.5,-144.0,180.0,bottom
R63,133.7,-146.0,180.0,top
R64,143.31,-146.0,0.0,top
R65,130.22,-134.805,90.0,top
R66,141.0,-134.25,90.0,top
R67,130.22,-136.75,270.0,top
R68,141.5,-135.75,0.0,top
R69,106.9,-134.65,270.0,top
R7,131.8,-119.6,90.0,bottom
R70,105.65,-134.65,270.0,top
R71,104.4875,-145.1175,90.0,top
R72,105.7375,-145.1175,90.0,top
R73,138.1,-106.0,90.0,top
R74,139.4,-106.0,90.0,top
R8,136.1,-123.6,90.0,bottom
R9,108.7,-146.75,90.0,bottom
SW1,116.1,-104.0,90.0,bottom
SW2,120.2,-104.0,90.0,bottom
SW3,112.0,-104.0,90.0,bottom
TH1,138.75,-139.0,270.0,bottom
TP1,141.925,-107.675,0.0,top
TP2,106.15,-118.6,0.0,top
TP3,120.05,-139.775,0.0,top
TP4,101.625,-141.6,0.0,top
TP5,135.675,-103.725,0.0,top
U2,130.02,-130.0,0.0,bottom
U3,134.93,-125.45,180.0,top
U4,141.75,-129.25,180.0,bottom
U5,139.7,-106.0,180.0,bottom
U6,146.2,-106.0,180.0,bottom
U7,106.2875,-137.45,0.0,top
U8,105.125,-142.4175,180.0,top
U9,138.75,-103.3,180.0,top
Y1,132.35,-141.08,180.0,bottom
